ilan_no;baslik;fiyat;konut_tipi;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;konum;url
121128-3842;Satılık Daire - Ankara / Mamak / Kutlu Mah.;3799000;Satılık Daire;3 +                          1;120;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Gny Güney Emlak Merkez Şube;14.02.2026;Ankara / Mamak / Kutlu Mah.;https://www.hepsiemlak.com/ankara-mamak-kutlu-satilik/daire/121128-3842
86644-879;Satılık Daire - Ankara / Mamak / Ege Mah.;8200000;Satılık Daire;3 +                          1;155;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Nur Emlak (doğukent);11.02.2026;Ankara / Mamak / Ege Mah.;https://www.hepsiemlak.com/ankara-mamak-ege-satilik/daire/86644-879
14497-9767;Satılık Daire - Ankara / Keçiören / Ovacık Mah.;3750000;Satılık Daire;3 +                          1;125;Yüksek Giriş;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Atalay Emlak;11.02.2026;Ankara / Keçiören / Ovacık Mah.;https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/14497-9767
32660-1286;Satılık Daire - Ankara / Altındağ / Baraj Mah.;6500000;Satılık Daire;3 +                          1;166;2. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;-;13.02.2026;Ankara / Altındağ / Baraj Mah.;https://www.hepsiemlak.com/ankara-altindag-baraj-satilik/daire/32660-1286
146331-200;Satılık Daire - Ankara / Yenimahalle / Karşıyaka Mah.;2600000;Satılık Daire;3 +                          1;95;En Üst Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;-;15.02.2026;Ankara / Yenimahalle / Karşıyaka Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-karsiyaka-satilik/daire/146331-200
43512-3719;Satılık Daire - Ankara / Çankaya / Aziziye Mah.;7000000;Satılık Daire;3 +                          1;125;3. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Borsem Köşk Temsilciliği;13.02.2026;Ankara / Çankaya / Aziziye Mah.;https://www.hepsiemlak.com/ankara-cankaya-aziziye-satilik/daire/43512-3719
4094-1549;Satılık Daire - Ankara / Çankaya / Ata Mah.;12500000;Satılık Daire;5 +                          1;280;Çatı Katı;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Yalnızgül Emlak;12.02.2026;Ankara / Çankaya / Ata Mah.;https://www.hepsiemlak.com/ankara-cankaya-ata-satilik/daire/4094-1549
120487-418;Satılık Daire - Ankara / Çankaya / Şehit Cengiz Karaca Mah.;7750000;Satılık Daire;3 +                          1;130;3. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;13.02.2026;Ankara / Çankaya / Şehit Cengiz Karaca Mah.;https://www.hepsiemlak.com/ankara-cankaya-sehit-cengiz-karaca-satilik/daire/120487-418
165012-76;Satılık Daire - Ankara / Sincan / Atatürk Mah.;1899000;Satılık Daire;3 +                          1;110;Bahçe Katı;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;İk Gayrimenkul;12.02.2026;Ankara / Sincan / Atatürk Mah.;https://www.hepsiemlak.com/ankara-sincan-ataturk-satilik/daire/165012-76
102968-3839;Satılık Daire - Ankara / Çankaya / Alacaatlı Mah.;12800000;Satılık Daire;4 +                          1;200;3. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;Enbatı Gayrimenkul;10.02.2026;Ankara / Çankaya / Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-satilik/daire/102968-3839
155710-45;Satılık Daire - Ankara / Etimesgut / Yeşilova Mah.;8950000;Satılık Daire;3 +                          0;110;8. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;8;Evet;Boş;-;11.02.2026;Ankara / Etimesgut / Yeşilova Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yesilova-satilik/daire/155710-45
83891-286;Satılık Daire - Ankara / Sincan / Mustafa Kemal Mah.;4750000;Satılık Daire;3 +                          1;145;2. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;13.02.2026;Ankara / Sincan / Mustafa Kemal Mah.;https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/83891-286
31999-238;Satılık Daire - Ankara / Gölbaşı / Seğmenler Mah.;3300000;Satılık Daire;1 +                          1;60;1. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;-;14.02.2026;Ankara / Gölbaşı / Seğmenler Mah.;https://www.hepsiemlak.com/ankara-golbasi-segmenler-satilik/daire/31999-238
5438-25589;Satılık Daire - Ankara / Çankaya / Sokullu Mehmet Paşa Mah.;3295000;Satılık Daire;3 +                          1;125;Giriş Katı;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Arslan Gayrimenkul;15.02.2026;Ankara / Çankaya / Sokullu Mehmet Paşa Mah.;https://www.hepsiemlak.com/ankara-cankaya-sokullu-mehmet-pasa-satilik/daire/5438-25589
89801-1769;Satılık Daire - Ankara / Etimesgut / İstasyon Mah.;4890000;Satılık Daire;3 +                          1;155;Yüksek Giriş;9;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;-;14.02.2026;Ankara / Etimesgut / İstasyon Mah.;https://www.hepsiemlak.com/ankara-etimesgut-istasyon-satilik/daire/89801-1769
5837-6407;Satılık Daire - Ankara / Keçiören / Ayvalı Mah.;5500000;Satılık Daire;4 +                          1;220;3. Kat;24;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;06 Burak Emlak İnşaat LTD.ŞTİ.;12.02.2026;Ankara / Keçiören / Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/5837-6407
159326-38;Satılık Daire - Ankara / Keçiören / Atapark Mah.;3950000;Satılık Daire;3 +                          1;130;Zemin;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;14.02.2026;Ankara / Keçiören / Atapark Mah.;https://www.hepsiemlak.com/ankara-kecioren-atapark-satilik/daire/159326-38
131459-607;Satılık Daire - Ankara / Çankaya / Barbaros Mah.;5990000;Satılık Daire;2 +                          1;85;3. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Redstone Number One;11.02.2026;Ankara / Çankaya / Barbaros Mah.;https://www.hepsiemlak.com/ankara-cankaya-barbaros-satilik/daire/131459-607
57012-7508;Satılık Villa - Ankara / Çankaya / Alacaatlı Mah.;125000000;Satılık Villa;7 +                          2;1.100;;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Coldwell Banker Pro;14.02.2026;Ankara / Çankaya / Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-satilik/villa/57012-7508
159417-187;Satılık Daire - Ankara / Etimesgut / Şeker Mah.;6590000;Satılık Daire;2 +                          1;85;6. Kat;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;9;Evet;Boş;Ankalife Gayrimenkul Göksu;12.02.2026;Ankara / Etimesgut / Şeker Mah.;https://www.hepsiemlak.com/ankara-etimesgut-seker-satilik/daire/159417-187
67805-132;Satılık Daire - Ankara / Yenimahalle / Ergazi Mah.;4950000;Satılık Daire;3 +                          0;125;5. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;10.02.2026;Ankara / Yenimahalle / Ergazi Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ergazi-satilik/daire/67805-132
67805-132;Satılık Daire - Ankara / Yenimahalle / Ergazi Mah.;4950000;Satılık Daire;3 +                          0;125;5. Kat;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;10.02.2026;Ankara / Yenimahalle / Ergazi Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ergazi-satilik/daire/67805-132
692109-119;Satılık Daire - Ankara / Çubuk / Esenboğa Merkez Mah.;1950000;Satılık Daire;1 +                          1;50;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Alıcılar Gayrimenkul;10.02.2026;Ankara / Çubuk / Esenboğa Merkez Mah.;https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-satilik/daire/692109-119
158046-323;Satılık Daire - Ankara / Keçiören / 23 Nisan Mah.;3885000;Satılık Daire;3 +                          1;130;Ara Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Ferit Çölbekler Gayrimenkul;14.02.2026;Ankara / Keçiören / 23 Nisan Mah.;https://www.hepsiemlak.com/ankara-kecioren-23-nisan-satilik/daire/158046-323
137758-1277;Satılık Daire - Ankara / Keçiören / Yükseltepe Mah.;3290000;Satılık Daire;3 +                          1;120;Yüksek Giriş;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Eroğlu Emlak;13.02.2026;Ankara / Keçiören / Yükseltepe Mah.;https://www.hepsiemlak.com/ankara-kecioren-yukseltepe-satilik/daire/137758-1277
6666-3151;Satılık Daire - Ankara / Çankaya / Ata Mah.;13650000;Satılık Daire;5 +                          1;309;4. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Marjinal Gayrimenkul A.Ş.;11.02.2026;Ankara / Çankaya / Ata Mah.;https://www.hepsiemlak.com/ankara-cankaya-ata-satilik/daire/6666-3151
151708-129;Satılık Daire - Ankara / Mamak / Ege Mah.;8900000;Satılık Daire;4 +                          1;185;4. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Best İnvest Gayrimenkul;10.02.2026;Ankara / Mamak / Ege Mah.;https://www.hepsiemlak.com/ankara-mamak-ege-satilik/daire/151708-129
136254-535;Satılık Daire - Ankara / Çankaya / Akpınar Mah.;16000000;Satılık Daire;4 +                          1;198;2. Kat;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Ay Emlak;13.02.2026;Ankara / Çankaya / Akpınar Mah.;https://www.hepsiemlak.com/ankara-cankaya-akpinar-satilik/daire/136254-535
69912-763;Satılık Daire - Ankara / Çankaya / Harbiye Mah.;14000000;Satılık Daire;3 +                          1;185;12. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;-;14.02.2026;Ankara / Çankaya / Harbiye Mah.;https://www.hepsiemlak.com/ankara-cankaya-harbiye-satilik/daire/69912-763
92223-2973;Satılık Daire - Ankara / Mamak / Durali Alıç Mah.;4249000;Satılık Daire;3 +                          1;140;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;-;12.02.2026;Ankara / Mamak / Durali Alıç Mah.;https://www.hepsiemlak.com/ankara-mamak-durali-alic-satilik/daire/92223-2973
