ilan_no;baslik;fiyat;konut_tipi;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;konum;url
158449-186;Satılık Daire - Ankara / Gölbaşı / Örencik Mah.;7600000;Satılık Daire;3 +                          1;150;Yüksek Giriş;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Alaçatı Gayrimenkul Gölbaşı Şube;13.02.2026;Ankara / Gölbaşı / Örencik Mah.;https://www.hepsiemlak.com/ankara-golbasi-orencik-satilik/daire/158449-186
159567-104;Satılık Daire - Ankara / Çankaya / Aşıkpaşa Mah.;5900000;Satılık Daire;2 +                          1;85;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Karaca Emlak Ofisi;10.02.2026;Ankara / Çankaya / Aşıkpaşa Mah.;https://www.hepsiemlak.com/ankara-cankaya-asikpasa-satilik/daire/159567-104
150285-54;Satılık Daire - Ankara / Gölbaşı / Kızılcaşar Mah.;7800000;Satılık Daire;3 +                          1;184;18. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;24;Evet;Boş;Coldwell Banker Concept;12.02.2026;Ankara / Gölbaşı / Kızılcaşar Mah.;https://www.hepsiemlak.com/ankara-golbasi-kizilcasar-satilik/daire/150285-54
44716-9434;Satılık Daire - Ankara / Mamak / Şahintepe Mah.;3169000;Satılık Daire;2 +                          1;110;1. Kat;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Gökçebey Emlak;13.02.2026;Ankara / Mamak / Şahintepe Mah.;https://www.hepsiemlak.com/ankara-mamak-sahintepe-satilik/daire/44716-9434
39672-9961;Satılık Daire - Ankara / Yenimahalle / Ergenekon Mah.;7250000;Satılık Daire;4 +                          1;250;3. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Bağbaşı Emlak;13.02.2026;Ankara / Yenimahalle / Ergenekon Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ergenekon-satilik/daire/39672-9961
141395-178;Satılık Daire - Ankara / Keçiören / Uyanış Mah.;3950000;Satılık Daire;3 +                          1;125;1. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Sefam Emlak;14.02.2026;Ankara / Keçiören / Uyanış Mah.;https://www.hepsiemlak.com/ankara-kecioren-uyanis-satilik/daire/141395-178
9639-19259;Satılık Daire - Ankara / Çankaya / Karapınar Mah.;11500000;Satılık Daire;4 +                          1;160;4. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Koç Emlak;14.02.2026;Ankara / Çankaya / Karapınar Mah.;https://www.hepsiemlak.com/ankara-cankaya-karapinar-satilik/daire/9639-19259
1444-3696;Satılık Daire - Ankara / Sincan / Yeniçimşit Mah.;2890000;Satılık Daire;1 +                          1;72;8. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Aradığın Ev Gayrimenkul;11.02.2026;Ankara / Sincan / Yeniçimşit Mah.;https://www.hepsiemlak.com/ankara-sincan-yenicimsit-satilik/daire/1444-3696
4337-3934;Satılık Daire - Ankara / Çankaya / Barbaros Mah.;5850000;Satılık Daire;2 +                          1;94;5. Kat;39;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Mavi Emlak;14.02.2026;Ankara / Çankaya / Barbaros Mah.;https://www.hepsiemlak.com/ankara-cankaya-barbaros-satilik/daire/4337-3934
28851-16450;Satılık Daire - Ankara / Yenimahalle / Serhat Mah.;10500000;Satılık Daire;6 +                          1;380;7. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Ayyıldız Gayrimenkul;10.02.2026;Ankara / Yenimahalle / Serhat Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-serhat-satilik/daire/28851-16450
111334-6883;Satılık Daire - Ankara / Sincan / Mevlana Mah.;8300000;Satılık Daire;4 +                          1;160;10. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Good Invest Gayrımenkul;12.02.2026;Ankara / Sincan / Mevlana Mah.;https://www.hepsiemlak.com/ankara-sincan-mevlana-satilik/daire/111334-6883
5733-6948;Satılık Daire - Ankara / Çankaya / Keklik Pınarı Mah.;9500000;Satılık Daire;5 +                          1;300;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Didem Emlak;14.02.2026;Ankara / Çankaya / Keklik Pınarı Mah.;https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-satilik/daire/5733-6948
93678-9288;Satılık Daire - Ankara / Keçiören / Atapark Mah.;5950000;Satılık Daire;5 +                          1;250;3. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;11.02.2026;Ankara / Keçiören / Atapark Mah.;https://www.hepsiemlak.com/ankara-kecioren-atapark-satilik/daire/93678-9288
2744-13998;Satılık Daire - Ankara / Çankaya / Harbiye Mah.;5970000;Satılık Daire;3 +                          1;125;3. Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Görkem Emlak;15.02.2026;Ankara / Çankaya / Harbiye Mah.;https://www.hepsiemlak.com/ankara-cankaya-harbiye-satilik/daire/2744-13998
151153-94;Satılık Daire - Ankara / Sincan / Tandoğan Mah.;2950000;Satılık Daire;3 +                          1;120;3. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Mg Gayrimenkul;15.02.2026;Ankara / Sincan / Tandoğan Mah.;https://www.hepsiemlak.com/ankara-sincan-tandogan-satilik/daire/151153-94
39032-2294;Satılık Villa - Ankara / Gölbaşı / Hacılar Mah.;29500000;Satılık Villa;4 +                          2;1.623;;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Ekare Gayrimenkul;14.02.2026;Ankara / Gölbaşı / Hacılar Mah.;https://www.hepsiemlak.com/ankara-golbasi-hacilar-satilik/villa/39032-2294
5665-1120;Satılık Daire - Ankara / Çankaya / İlkbahar Mah.;10000000;Satılık Daire;2 +                          1;147;Bahçe Katı;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Kali Gayrimenkul;13.02.2026;Ankara / Çankaya / İlkbahar Mah.;https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/5665-1120
4744-11468;Satılık Villa - Ankara / Gölbaşı / Karaoğlan Mah.;32500000;Satılık Villa;7 +                          1;700;;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Remax Can (ümitköy);14.02.2026;Ankara / Gölbaşı / Karaoğlan Mah.;https://www.hepsiemlak.com/ankara-golbasi-karaoglan-satilik/villa/4744-11468
126214-221;Satılık Daire - Ankara / Çankaya / Bağcılar Mah.;7750000;Satılık Daire;5 +                          1;220;Yüksek Giriş;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;11.02.2026;Ankara / Çankaya / Bağcılar Mah.;https://www.hepsiemlak.com/ankara-cankaya-bagcilar-satilik/daire/126214-221
163501-66;Satılık Daire - Ankara / Gölbaşı / Taşpınar Mah.;7350000;Satılık Daire;2 +                          1;90;20. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;28;Evet;Boş;Sby Yatırım Proje;11.02.2026;Ankara / Gölbaşı / Taşpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-taspinar-satilik/daire/163501-66
77907-1306;Satılık Daire - Ankara / Pursaklar / Saray Osmangazi Mah.;3550000;Satılık Daire;1 +                          1;55;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;12.02.2026;Ankara / Pursaklar / Saray Osmangazi Mah.;https://www.hepsiemlak.com/ankara-pursaklar-saray-osmangazi-satilik/daire/77907-1306
6868-87;Satılık Daire - Ankara / Yenimahalle / Beştepe Mah.;4200000;Satılık Daire;2 +                          1;100;Kot 1;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Rıza.ca Emlak;10.02.2026;Ankara / Yenimahalle / Beştepe Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-bestepe-satilik/daire/6868-87
10039-1543;Satılık Daire - Ankara / Etimesgut / Topçu Mah.;4500000;Satılık Daire;5 +                          2;250;3. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;15.02.2026;Ankara / Etimesgut / Topçu Mah.;https://www.hepsiemlak.com/ankara-etimesgut-topcu-satilik/daire/10039-1543
129583-1317;Satılık Daire - Ankara / Yenimahalle / Ata Mah.;5480000;Satılık Daire;3 +                          1;135;Giriş Katı;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;Coldwell Banker Aden;13.02.2026;Ankara / Yenimahalle / Ata Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-ata-satilik/daire/129583-1317
121706-698;Satılık Daire - Ankara / Keçiören / Etlik Mah.;5150000;Satılık Daire;3 +                          1;125;2. Kat;26;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;12.02.2026;Ankara / Keçiören / Etlik Mah.;https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/121706-698
109633-1207;Satılık Daire - Ankara / Mamak / Boğaziçi Mah.;3650000;Satılık Daire;3 +                          1;125;2. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Hasat Emlak;13.02.2026;Ankara / Mamak / Boğaziçi Mah.;https://www.hepsiemlak.com/ankara-mamak-bogazici-satilik/daire/109633-1207
111476-1846;Satılık Daire - Ankara / Keçiören / İncirli Mah.;2700000;Satılık Daire;3 +                          0;124;Kot 1;22;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Eren Emlak;13.02.2026;Ankara / Keçiören / İncirli Mah.;https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/111476-1846
1170-7315;Satılık Daire - Ankara / Gölbaşı / Karşıyaka Mah.;6250000;Satılık Daire;3 +                          1;120;2. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Ader Gayrimenkul;14.02.2026;Ankara / Gölbaşı / Karşıyaka Mah.;https://www.hepsiemlak.com/ankara-golbasi-karsiyaka-satilik/daire/1170-7315
128685-1124;Satılık Daire - Ankara / Sincan / Mustafa Kemal Mah.;3899000;Satılık Daire;3 +                          1;130;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Pektaşlar Gayrimenkul;15.02.2026;Ankara / Sincan / Mustafa Kemal Mah.;https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/128685-1124
5338-8259;Satılık Daire - Ankara / Çankaya / Ata Mah.;8000000;Satılık Daire;3 +                          1;145;2. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Üçok Emlak;15.02.2026;Ankara / Çankaya / Ata Mah.;https://www.hepsiemlak.com/ankara-cankaya-ata-satilik/daire/5338-8259
114171-209;Satılık Daire - Ankara / Mamak / Dutluk Mah.;3490000;Satılık Daire;3 +                          1;140;Giriş Katı;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;10.02.2026;Ankara / Mamak / Dutluk Mah.;https://www.hepsiemlak.com/ankara-mamak-dutluk-satilik/daire/114171-209
141924-853;Satılık Daire - Ankara / Yenimahalle / Karşıyaka Mah.;1750000;Satılık Daire;3 +                          1;110;Giriş Katı;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;6;Evet;Boş;Rek Emlak Yatırım;13.02.2026;Ankara / Yenimahalle / Karşıyaka Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-karsiyaka-satilik/daire/141924-853
98484-797;Satılık Daire - Ankara / Keçiören / Kavacık Subayevleri Mah.;4100000;Satılık Daire;3 +                          1;110;Giriş Katı;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;-;15.02.2026;Ankara / Keçiören / Kavacık Subayevleri Mah.;https://www.hepsiemlak.com/ankara-kecioren-kavacik-subayevleri-satilik/daire/98484-797
112332-313;Satılık Daire - Ankara / Altındağ / Hacettepe Mah.;3750000;Satılık Daire;3 +                          1;115;3. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Reymorris Kızılkaya Gayrimenkul;12.02.2026;Ankara / Altındağ / Hacettepe Mah.;https://www.hepsiemlak.com/ankara-altindag-hacettepe-satilik/daire/112332-313
54671-3072;Satılık Daire - Ankara / Çankaya / Aşağı Öveçler Mah.;6750000;Satılık Daire;3 +                          1;145;2. Kat;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;14.02.2026;Ankara / Çankaya / Aşağı Öveçler Mah.;https://www.hepsiemlak.com/ankara-cankaya-asagi-ovecler-satilik/daire/54671-3072
68766-6015;Satılık Daire - Ankara / Sincan / Malazgirt Mah.;3590000;Satılık Daire;3 +                          1;125;2. Kat;14;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Tmc Gayrimenkul;14.02.2026;Ankara / Sincan / Malazgirt Mah.;https://www.hepsiemlak.com/ankara-sincan-malazgirt-satilik/daire/68766-6015
115614-2690;Satılık Daire - Ankara / Keçiören / Yükseltepe Mah.;15000000;Satılık Daire;5 +                          1;250;21 ve üzeri;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;30;Evet;Boş;Koru Emlak;14.02.2026;Ankara / Keçiören / Yükseltepe Mah.;https://www.hepsiemlak.com/ankara-kecioren-yukseltepe-satilik/daire/115614-2690
6664-2518;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;15500000;Satılık Daire;2 +                          1;100;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Er Emlak;11.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/6664-2518
1145-2344;Satılık Daire - Ankara / Çankaya / Emek Mah.;6200000;Satılık Daire;2 +                          1;65;1. Kat;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Erim Emlak Müşavirliği;12.02.2026;Ankara / Çankaya / Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-satilik/daire/1145-2344
41304-3110;Satılık Daire - Ankara / Çankaya / Emek Mah.;9000000;Satılık Daire;2 +                          1;90;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Gökhan Emlak;13.02.2026;Ankara / Çankaya / Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-satilik/daire/41304-3110
119882-8549;Satılık Daire - Ankara / Etimesgut / Ahi Mesut Mah.;8700000;Satılık Daire;3 +                          1;155;5. Kat;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Açıl Gayrimenkul;15.02.2026;Ankara / Etimesgut / Ahi Mesut Mah.;https://www.hepsiemlak.com/ankara-etimesgut-ahi-mesut-satilik/daire/119882-8549
114144-2747;Satılık Daire - Ankara / Çankaya / Emek Mah.;13500000;Satılık Daire;4 +                          1;170;3. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Sbell Gayrimenkul;16.02.2026;Ankara / Çankaya / Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-satilik/daire/114144-2747
16509-1237;Satılık Daire - Ankara / Çankaya / Metin Oktay Mah.;5000000;Satılık Daire;2 +                          1;80;Yüksek Giriş;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Mutlu Emlak;11.02.2026;Ankara / Çankaya / Metin Oktay Mah.;https://www.hepsiemlak.com/ankara-cankaya-metin-oktay-satilik/daire/16509-1237
111966-3327;Satılık Daire - Ankara / Polatlı / Şehitlik Mah.;5300000;Satılık Daire;4 +                          1;190;7. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;13;Evet;Boş;Uğurlu Gayrimenkul;11.02.2026;Ankara / Polatlı / Şehitlik Mah.;https://www.hepsiemlak.com/ankara-polatli-sehitlik-satilik/daire/111966-3327
164785-1;Satılık Daire - Ankara / Çankaya / Çamlıtepe Mah.;6400000;Satılık Daire;2 +                          1;74;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Han Strateji Gayrimenkul Danışmanlık;13.02.2026;Ankara / Çankaya / Çamlıtepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-camlitepe-satilik/daire/164785-1
84437-218;Satılık Daire - Ankara / Yenimahalle / Yeşilevler Mah.;1950000;Satılık Daire;1 +                          1;65;Yüksek Giriş;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;-;13.02.2026;Ankara / Yenimahalle / Yeşilevler Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-yesilevler-satilik/daire/84437-218
8006-1273;Satılık Bina - Ankara / Altındağ / Gültepe Mah.;19900000;Satılık Bina;10 +                          4;600;;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Extra Yatırım Gayrimenkul;12.02.2026;Ankara / Altındağ / Gültepe Mah.;https://www.hepsiemlak.com/ankara-altindag-gultepe-satilik/bina/8006-1273
4380-12348;Satılık Daire - Ankara / Çankaya / Naci Çakır Mah.;2990000;Satılık Daire;2 +                          1;105;Kot 1;33;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Polat Emlak;16.02.2026;Ankara / Çankaya / Naci Çakır Mah.;https://www.hepsiemlak.com/ankara-cankaya-naci-cakir-satilik/daire/4380-12348
25300-2302;Satılık Daire - Ankara / Çankaya / Yukarı Bahçelievler Mah.;6750000;Satılık Daire;2 +                          1;95;2. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Özge Emlak;15.02.2026;Ankara / Çankaya / Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-satilik/daire/25300-2302
97798-1466;Satılık Daire - Ankara / Etimesgut / Yukarıyurtçu Mah.;4100000;Satılık Daire;2 +                          1;83;1. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;10;Evet;Boş;-;13.02.2026;Ankara / Etimesgut / Yukarıyurtçu Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yukariyurtcu-satilik/daire/97798-1466
85799-3344;Satılık Daire - Ankara / Keçiören / Hisar Mah.;4650000;Satılık Daire;3 +                          1;130;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Erhan Güler Gayrimenkul;12.02.2026;Ankara / Keçiören / Hisar Mah.;https://www.hepsiemlak.com/ankara-kecioren-hisar-satilik/daire/85799-3344
119164-3266;Satılık Daire - Ankara / Çankaya / Sokullu Mehmet Paşa Mah.;6390000;Satılık Daire;3 +                          1;120;2. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Kadıyoran Gayrimenkul;13.02.2026;Ankara / Çankaya / Sokullu Mehmet Paşa Mah.;https://www.hepsiemlak.com/ankara-cankaya-sokullu-mehmet-pasa-satilik/daire/119164-3266
93675-2032;Satılık Daire - Ankara / Mamak / Bahçelerüstü Mah.;2900000;Satılık Daire;3 +                          1;100;Yüksek Giriş;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Güvenç Emlak;13.02.2026;Ankara / Mamak / Bahçelerüstü Mah.;https://www.hepsiemlak.com/ankara-mamak-bahcelerustu-satilik/daire/93675-2032
57012-7487;Satılık Villa - Ankara / Çankaya / Alacaatlı Mah.;26600000;Satılık Villa;5 +                          1;300;;10;Kombi (Doğalgaz);Kat Mülkiyeti;1;2;Evet;Boş;Coldwell Banker Pro;14.02.2026;Ankara / Çankaya / Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-satilik/villa/57012-7487
100247-57;Satılık Daire - Ankara / Çubuk / Yavuzselim Mah.;5000000;Satılık Daire;3 +                          1;135;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Aydos & Kıyak İnşaat Emlak;14.02.2026;Ankara / Çubuk / Yavuzselim Mah.;https://www.hepsiemlak.com/ankara-cubuk-yavuzselim-satilik/daire/100247-57
119658-117;Satılık Daire - Ankara / Çankaya / Keklik Pınarı Mah.;2800000;Satılık Daire;1 +                          1;50;Bahçe Katı;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;16.02.2026;Ankara / Çankaya / Keklik Pınarı Mah.;https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-satilik/daire/119658-117
136146-65;Satılık Daire - Ankara / Akyurt / Beyazıt Mah.;1790000;Satılık Daire;1 +                          1;60;1. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;12.02.2026;Ankara / Akyurt / Beyazıt Mah.;https://www.hepsiemlak.com/ankara-akyurt-beyazit-satilik/daire/136146-65
76287-2573;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;8000000;Satılık Daire;1 +                          1;65;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Arkadaş Gayrimenkul;16.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/76287-2573
4629-5339;Satılık Daire - Ankara / Çankaya / Sancak Mah.;5800000;Satılık Daire;1 +                          1;80;4. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Dost Gayrimenkul;14.02.2026;Ankara / Çankaya / Sancak Mah.;https://www.hepsiemlak.com/ankara-cankaya-sancak-satilik/daire/4629-5339
1468-10638;Satılık Daire - Ankara / Çankaya / Kocatepe Mah.;4800000;Satılık Daire;2 +                          1;110;4. Kat;36;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;İlgim Emlak Ajansı;14.02.2026;Ankara / Çankaya / Kocatepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-kocatepe-satilik/daire/1468-10638
4480-25803;Satılık Daire - Ankara / Pursaklar / Mimar Sinan Mah.;6450000;Satılık Daire;3 +                          1;170;11. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Düzgün Emlak;14.02.2026;Ankara / Pursaklar / Mimar Sinan Mah.;https://www.hepsiemlak.com/ankara-pursaklar-mimar-sinan-satilik/daire/4480-25803
95979-1849;Satılık Daire - Ankara / Etimesgut / Oğuzlar Mah.;6350000;Satılık Daire;3 +                          1;130;6. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Sözgenler Emlak;15.02.2026;Ankara / Etimesgut / Oğuzlar Mah.;https://www.hepsiemlak.com/ankara-etimesgut-oguzlar-satilik/daire/95979-1849
76426-2249;Satılık Daire - Ankara / Mamak / Cengizhan Mah.;4500000;Satılık Daire;1 +                          1;50;13. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Keşif Gayrimenkul;10.02.2026;Ankara / Mamak / Cengizhan Mah.;https://www.hepsiemlak.com/ankara-mamak-cengizhan-satilik/daire/76426-2249
136146-65;Satılık Daire - Ankara / Akyurt / Beyazıt Mah.;1790000;Satılık Daire;1 +                          1;60;1. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;-;12.02.2026;Ankara / Akyurt / Beyazıt Mah.;https://www.hepsiemlak.com/ankara-akyurt-beyazit-satilik/daire/136146-65
76287-2573;Satılık Daire - Ankara / Çankaya / Bahçelievler Mah.;8000000;Satılık Daire;1 +                          1;65;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;Arkadaş Gayrimenkul;16.02.2026;Ankara / Çankaya / Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/76287-2573
4629-5339;Satılık Daire - Ankara / Çankaya / Sancak Mah.;5800000;Satılık Daire;1 +                          1;80;4. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;Dost Gayrimenkul;14.02.2026;Ankara / Çankaya / Sancak Mah.;https://www.hepsiemlak.com/ankara-cankaya-sancak-satilik/daire/4629-5339
1468-10638;Satılık Daire - Ankara / Çankaya / Kocatepe Mah.;4800000;Satılık Daire;2 +                          1;110;4. Kat;36;Kombi (Doğalgaz);Kat Mülkiyeti;1;5;Evet;Boş;İlgim Emlak Ajansı;14.02.2026;Ankara / Çankaya / Kocatepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-kocatepe-satilik/daire/1468-10638
4480-25803;Satılık Daire - Ankara / Pursaklar / Mimar Sinan Mah.;6450000;Satılık Daire;3 +                          1;170;11. Kat;12;Kombi (Doğalgaz);Kat Mülkiyeti;1;12;Evet;Boş;Düzgün Emlak;14.02.2026;Ankara / Pursaklar / Mimar Sinan Mah.;https://www.hepsiemlak.com/ankara-pursaklar-mimar-sinan-satilik/daire/4480-25803
95979-1849;Satılık Daire - Ankara / Etimesgut / Oğuzlar Mah.;6350000;Satılık Daire;3 +                          1;130;6. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;7;Evet;Boş;Sözgenler Emlak;15.02.2026;Ankara / Etimesgut / Oğuzlar Mah.;https://www.hepsiemlak.com/ankara-etimesgut-oguzlar-satilik/daire/95979-1849
76426-2249;Satılık Daire - Ankara / Mamak / Cengizhan Mah.;4500000;Satılık Daire;1 +                          1;50;13. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;16;Evet;Boş;Keşif Gayrimenkul;10.02.2026;Ankara / Mamak / Cengizhan Mah.;https://www.hepsiemlak.com/ankara-mamak-cengizhan-satilik/daire/76426-2249
1907-3412;Satılık Daire - Ankara / Mamak / Türközü Mah.;4100000;Satılık Daire;3 +                          1;125;3. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;15.02.2026;Ankara / Mamak / Türközü Mah.;https://www.hepsiemlak.com/ankara-mamak-turkozu-satilik/daire/1907-3412
1919-2030;Satılık Residence - Ankara / Çankaya / Beytepe Mah.;24750000;Satılık Residence;4 +                          1;220;11. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;24;Evet;Boş;Maxstars;10.02.2026;Ankara / Çankaya / Beytepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-beytepe-satilik/residence/1919-2030
159692-37;Satılık Daire - Ankara / Sincan / 29 Ekim Mah.;5350000;Satılık Daire;3 +                          1;127;Ara Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;4;Evet;Boş;Umut İnşaat Gayrimenkul;15.02.2026;Ankara / Sincan / 29 Ekim Mah.;https://www.hepsiemlak.com/ankara-sincan-29-ekim-satilik/daire/159692-37
152965-249;Satılık Daire - Ankara / Altındağ / Karapürçek Mah.;3125000;Satılık Daire;3 +                          1;135;Yüksek Giriş;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;3;Evet;Boş;-;15.02.2026;Ankara / Altındağ / Karapürçek Mah.;https://www.hepsiemlak.com/ankara-altindag-karapurcek-satilik/daire/152965-249
128276-1584;Satılık Daire - Ankara / Sincan / Mevlana Mah.;6499000;Satılık Daire;3 +                          1;140;2. Kat;0;Kombi (Doğalgaz);Kat Mülkiyeti;1;15;Evet;Boş;Bg Gayrimenkul;15.02.2026;Ankara / Sincan / Mevlana Mah.;https://www.hepsiemlak.com/ankara-sincan-mevlana-satilik/daire/128276-1584
