ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
146479-128;Kiralık;47000;3 +                              1;145;Giriş Katı;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;13 Katlı;Evet;Boş;Ayyıldız 89 Emlak;2026/05/11;Etimesgut;Şehit Osman Avcı Mah.;https://www.hepsiemlak.com/ankara-etimesgut-sehit-osman-avci-kiralik/daire/146479-128
1248-2593;Kiralık;30000;1 +                              1;65;Giriş Katı;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;8 Katlı;Evet;Boş;Karan Gayrimenkul;2026/05/10;Çankaya;Büyükesat Mah.;https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/1248-2593
1248-2562;Kiralık;44000;1 +                              1;70;2. Kat;1;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Karan Gayrimenkul;2026/05/11;Çankaya;Büyükesat Mah.;https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/1248-2562
129908-1266;Kiralık;35000;1 +                              1;55;Yüksek Giriş;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Mülk Merkezi Gayrimenkul;2026/05/11;Çankaya;Birlik Mah.;https://www.hepsiemlak.com/ankara-cankaya-birlik-kiralik/daire/129908-1266
129908-1272;Kiralık;39000;1 +                              1;55;1. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Mülk Merkezi Gayrimenkul;2026/05/11;Çankaya;Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/129908-1272
2533-2663;Kiralık;36000;1 +                              1;56;Yüksek Giriş;8;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Cansu Emlak;2026/05/11;Çankaya;Yukarı Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/2533-2663
139996-563;Kiralık;31500;4 +                              1;160;2. Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Veranka Invest Gayrimenkul;2026/05/11;Keçiören;Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-kiralik/daire/139996-563
9595-2508;Kiralık;50000;4 +                              1;140;3. Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Karakuş Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/9595-2508
9595-2502;Kiralık;37000;3 +                              1;120;2. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Karakuş Emlak;2026/05/11;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/9595-2502
1124-6306;Kiralık;35000;3 +                              1;130;1. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Bircan Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/1124-6306
